No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
48,70:30,"(32, 64, 16)",logistic,0.012,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
49,70:30,"(32, 64, 16)",logistic,0.01,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
50,70:30,"(32, 64, 16)",logistic,0.015,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
51,70:30,"(32, 64, 16)",logistic,0.018,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
52,70:30,"(32, 64, 16)",logistic,0.0111,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
53,70:30,"(32, 64, 16)",relu,0.04,33,0.00705,0.993,0.9958,0.9967,0.9752,0.9979,0.9831,0.9994,0.9969,0.9899,0.9871,5250,3675,1575
54,70:30,"(32, 64, 16)",relu,0.08,35,0.00514,0.9949,0.9939,0.9964,0.9943,0.9992,0.9888,0.9943,0.9966,0.9926,0.9943,5250,3675,1575
55,70:30,"(32, 64, 16)",relu,0.06,35,0.00524,0.9948,0.9941,0.9956,0.9949,0.9996,0.9894,0.9911,0.9969,0.9925,0.993,5250,3675,1575
56,70:30,"(32, 64, 16)",relu,0.005,46,0.012,0.988,0.9947,0.9818,0.9803,0.993,0.9839,0.981,0.9938,0.9829,0.9806,5250,3675,1575
57,70:30,"(32, 64, 16)",relu,0.009,70,0.00381,0.9962,0.9966,0.9973,0.9924,0.9992,0.9918,0.9962,0.9979,0.9945,0.9943,5250,3675,1575
58,70:30,"(32, 64, 16)",relu,0.007,46,0.00895,0.991,0.9962,0.9854,0.9873,0.9945,0.9891,0.9841,0.9953,0.9872,0.9857,5250,3675,1575
59,70:30,"(32, 64, 16)",relu,0.2,35,0.01124,0.9888,1.0,0.9739,0.9874,0.9823,0.9946,0.9968,0.9911,0.9841,0.9921,5250,3675,1575
60,70:30,"(32, 64, 16)",relu,0.6,35,0.00638,0.9936,0.9975,0.9905,0.988,0.9956,0.9913,0.9924,0.9966,0.9909,0.9902,5250,3675,1575
61,70:30,"(32, 64, 16)",relu,0.012,49,0.00438,0.9956,0.9985,0.9921,0.9943,0.9971,0.9954,0.9911,0.9978,0.9938,0.9927,5250,3675,1575
62,70:30,"(32, 64, 16)",relu,0.01,70,0.00333,0.9967,0.9968,0.9981,0.993,0.9994,0.9924,0.9975,0.9981,0.9952,0.9952,5250,3675,1575
63,70:30,"(32, 64, 16)",relu,0.015,33,0.00648,0.9935,0.9966,0.9929,0.9849,0.9966,0.9886,0.9949,0.9966,0.9907,0.9899,5250,3675,1575
64,70:30,"(32, 64, 16)",relu,0.018,33,0.0061,0.9939,0.9966,0.9929,0.9874,0.9966,0.9897,0.9949,0.9966,0.9913,0.9911,5250,3675,1575
65,70:30,"(32, 64, 16)",relu,0.0111,51,0.00571,0.9943,0.999,0.9876,0.9943,0.9935,0.9962,0.9924,0.9963,0.9919,0.9933,5250,3675,1575
