No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
110,60:40,"(128, 64, 32, 16)",tanh,0.007,40,0.00911,0.9909,0.9991,0.9821,0.9846,0.988,0.9921,0.9978,0.9935,0.987,0.9912,4500,3150,1350
111,60:40,"(128, 64, 32, 16)",tanh,0.2,15,0.13789,0.8648,0.8833,0.8902,0.7686,0.9638,0.7029,0.9126,0.9218,0.7855,0.8344,4500,3150,1350
112,60:40,"(128, 64, 32, 16)",tanh,0.6,18,0.24222,0.7614,0.8424,0.6923,0.656,0.8567,0.5794,0.8689,0.8495,0.6308,0.7476,4500,3150,1350
113,60:40,"(128, 64, 32, 16)",tanh,0.012,38,0.00611,0.9939,0.9993,0.9877,0.9904,0.9922,0.9949,0.997,0.9958,0.9913,0.9937,4500,3150,1350
114,60:40,"(128, 64, 32, 16)",tanh,0.01,15,0.01378,0.9862,0.986,0.9881,0.9828,0.9989,0.9724,0.9763,0.9924,0.9802,0.9796,4500,3150,1350
115,60:40,"(128, 64, 32, 16)",tanh,0.015,15,0.01811,0.9819,0.9933,0.9829,0.9437,0.99,0.9651,0.9941,0.9917,0.9739,0.9683,4500,3150,1350
116,60:40,"(128, 64, 32, 16)",tanh,0.018,31,0.00878,0.9912,0.991,0.9898,0.9955,0.9993,0.9851,0.9785,0.9951,0.9874,0.9869,4500,3150,1350
117,60:40,"(128, 64, 32, 16)",tanh,0.0111,27,0.00678,0.9932,0.9964,0.9923,0.9847,0.9947,0.9883,1.0,0.9956,0.9903,0.9923,4500,3150,1350
118,60:40,"(256, 128, 64, 32, 16)",logistic,0.04,16,0.02033,0.9797,0.9691,0.993,0.986,0.9976,0.9486,0.9926,0.9831,0.9703,0.9893,4500,3150,1350
119,60:40,"(256, 128, 64, 32, 16)",logistic,0.08,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
